article_id,link,title,description,content,keywords,creator,language,country,category,datatype,pubDate,pubDateTZ,fetched_at,image_url,video_url,source_id,source_name,source_priority,source_url,source_icon,sentiment,sentiment_stats,ai_tag,ai_region,ai_org,ai_summary,duplicate
282093d7d573e60977c2cf5d1254dd32,https://www.ettoday.net/news/20260625/3189957.htm,藍牙耳機充電突冒火 台南辦公室同事持滅火器撲滅,"台南市東區一處辦公室發生藍牙耳機充電起火事件,一名男子將耳機接上電腦主機USB充電時,耳機內部突然冒煙並竄出火苗,所幸現場人員及時拔除電源,同事持乾粉滅火器撲滅火勢,消防局獲報出動2車、3人到場處理,未造成人員傷亡。 《詳全文...》",ONLY AVAILABLE IN PAID PLANS,,,chinese,['taiwan'],"['top', 'crime']",news,2026-06-25 10:39:00,UTC,2026-06-25 12:09:16,,,ettoday,Ettoday,108845,https://www.ettoday.net,https://n.bytvi.com/ettoday.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False
dba7436ce73dc125491d46c7c1e027b1,https://www.eleconomista.es/economia/noticias/13986325/06/26/los-hogares-destinaron-la-mitad-de-su-presupuesto-familiar-a-pagar-vivienda-y-comida-en-2025.html,Los hogares destinaron la mitad de su presupuesto familiar a pagar vivienda y comida en 2025,"El gasto medio por hogar aumentó un 3,1% en 2025, hasta los 35.101, 1.056 más que en 2024 (cuando avanzó un 4,4%) y nuevo récord histórico tras cinco años de alzas consecutivas. La principal partida vuelve a ser la de vivienda, que sigue acaparando la tercera parte de ese presupuesto: de cada 100 euros gastados, 33,2 fueron al pago alquiler/hipoteca o suministros, pero no la compra; si se incluye la alimentación hay que añadir 16 euros más a esa 'bolsa'. Con todo, la parte absorbida para cubrir esos gastos supera el 60% en las familias con menos nivel de gasto.",ONLY AVAILABLE IN PAID PLANS,['economía'],['maría medinilla'],spanish,['spain'],['business'],news,2026-06-25 10:39:00,UTC,2026-06-25 11:02:48,https://s10.s3c.es/imag/_v0/6960x3799/5/9/a/1200x655_gente-paseo-gracia-bcn-alamy.jpg,,eleconomista_es,Eleconomista Es,6304,https://www.eleconomista.es,https://n.bytvi.com/eleconomista_es.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False
eca2d97b0b737f9fad391c0dae30ed40,https://www.otz.de/lokales/blaulicht/article412382872/toedlicher-messerangriff-in-bad-langensalza-polizei-hat-zwei-tatverdaechtige-erste-ermittlungsergebnisse-liegen-vor.html,Tödlicher Messerangriff in Bad Langensalza: Polizei hat zwei Tatverdächtige – erste Ermittlungsergebnisse,Die tödliche Messerstecherei in Bad Langensalza löst am Mittwochabend einen Großeinsatz aus. Nun sind weitere Details zur Tat bekannt. Es gibt erste Reaktionen aus der Politik.,ONLY AVAILABLE IN PAID PLANS,,,german,['germany'],"['top', 'crime']",news,2026-06-25 10:39:00,UTC,2026-06-25 11:08:34,,,otz,Ostthüringer Zeitung,49394,https://www.otz.de,https://n.bytvi.com/otz.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False
46d96099b0983f6b170f9bd46ebbaf68,https://www.fnn.jp/articles/-/1065886,死者1万人超の恐れ ベネズエラでマグニチュード7超の“連続地震” 青森の26分前に...国家非常事態を宣言,死者1万人超の恐れ ベネズエラでマグニチュード7超の“連続地震” 青森の26分前に...国家非常事態を宣言,ONLY AVAILABLE IN PAID PLANS,,['フジテレビジョン'],japanese,['japan'],"['top', 'lifestyle', 'sports']",news,2026-06-25 10:39:00,UTC,2026-06-25 10:44:17,https://fnn.ismcdn.jp/mwimgs/f/0/1200/img_f05be5743dccf6c1621f9ce6344adfcb431712.jpg,,fnn,Fnnプライムオンライン,428975,https://www.fnn.jp,https://n.bytvi.com/fnn.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False
59c646a47d0eefb903296f45e9d0ad28,https://www.notebookcheck.net/Apple-said-to-be-already-working-on-iPhone-Ultra-2-but-iPhone-Air-3-might-be-cancelled.1328663.0.html,"Apple said to be already working on iPhone Ultra 2, but iPhone Air 3 might be cancelled","The Apple iPhone Ultra is set to be officially unveiled in a few months. Even before the launch of Apple's first foldable, the tech giant is said to have already begun developing its successor. The fate of the iPhone Air, on the other hand, hangs in the balance.",ONLY AVAILABLE IN PAID PLANS,"['leaks / rumors', 'foldable', 'apple', 'iphone']",['hannes brecher'],english,['united states of america'],"['top', 'technology']",news,2026-06-25 10:39:00,UTC,2026-06-25 11:02:13,https://www.notebookcheck.net/fileadmin/Notebooks/News/_nc5/iPhone-Ultra.jpg,,notebookcheck,Notebookcheck,9698,https://www.notebookcheck.net,https://n.bytvi.com/notebookcheck.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False
9e428e749d90ab4cab8ad7c6c41de0fc,https://diena.lv/raksts/pasaule/eiropa/es-izmaksajusi-pirmo-dalu-no-90-miljardu-eiro-liela-aizdevuma-ukrainai,ES izmaksājusi pirmo daļu no 90 miljardu eiro lielā aizdevuma Ukrainai,"Eiropas Savienība (ES) ceturtdien izmaksājusi pirmos trīs miljardus eiro no jaunā 90 miljardu eiro lielā aizdevuma Ukrainai, paziņojusi Eiropas Komisijas (EK) prezidente Urzula fon der Leiena.",ONLY AVAILABLE IN PAID PLANS,"['karš ukrainā', 'eiropas savienība', 'ukraina', 'nauda']",,latvian,['latvia'],"['top', 'business']",news,2026-06-25 10:39:00,UTC,2026-06-25 12:22:42,https://diena.lv/imgproxy/-TvKaZITzGednSfmemYlaFg00cItisxjwn99XntQ8Oo/rt:fill/s:1200:750/plain/s3://diena-1/media/2024/06/original/0d6f36f38041.jpg,,diena,Diena,1203478,https://www.diena.lv,https://n.bytvi.com/diena.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,True
723b034ea5fd09b78ecb8e1c7d021395,https://www.tlz.de/lokales/unstrut-hainich-kreis/article412382872/toedlicher-messerangriff-in-bad-langensalza-polizei-hat-zwei-tatverdaechtige-erste-ermittlungsergebnisse-liegen-vor.html,Tödlicher Messerangriff in Bad Langensalza: Polizei hat zwei Tatverdächtige – erste Ermittlungsergebnisse,Die tödliche Messerstecherei in Bad Langensalza löst am Mittwochabend einen Großeinsatz aus. Nun sind weitere Details zur Tat bekannt. Es gibt erste Reaktionen aus der Politik.,ONLY AVAILABLE IN PAID PLANS,,['alexander volkmann'],german,['germany'],['domestic'],news,2026-06-25 10:39:00,UTC,2026-06-25 11:12:31,https://img.sparknews.funkemedien.de/412384733/412384733_1782384697_v16_9_600.jpeg,,tlz,Thuringische Landeszeitung,169593,https://www.tlz.de,https://n.bytvi.com/tlz.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,True
a94ba9940da93eba93f26439e8e85dbd,https://www.interfax.ru/russia/1098286,Воевавший за ВСУ колумбиец заочно приговорен к 14 годам колонии,"Верховный суд Донецкой Народной Республики заочно приговорил наемника из Колумбии к 14 годам колонии за участие в боевых действиях на стороне Украины, сообщили в Следственном комитете России в четверг.",ONLY AVAILABLE IN PAID PLANS,"['скр', 'колумбия', 'всу', 'днр']",,russian,['russia'],['top'],news,2026-06-25 10:39:00,UTC,2026-06-25 11:26:40,https://www.interfax.ru/aspimg/1098286.jpg,,interfax,Интерфакс,116332,http://www.interfax.ru,https://n.bytvi.com/interfax.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False
9d516e36462dd099a928aae4c3519675,https://www.tportal.hr/sport/clanak/gazzetta-italija-dogovorila-novog-izbornika-nakon-debakla-u-zenici-20260625,Gazzetta: Italija dogovorila novog izbornika nakon debakla u Zenici,Antonio Conte sve je bliže velikom povratku na klupu talijanske reprezentacije.,ONLY AVAILABLE IN PAID PLANS,"['talijanska nogometna reprezentacija', 'antonio conte', 'nogomet']",['m.š'],bosnian,['croatia'],['sports'],news,2026-06-25 10:39:00,UTC,2026-06-25 11:05:05,https://www.tportal.hr/media/thumbnail/1200x720/2756602.jpeg?cropId=4163701,,tportal,Tportal,14509,https://www.tportal.hr,https://n.bytvi.com/tportal.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False
4b3345b17cc59ac23b570732a539f4f3,https://diariopanorama.com/noticia/557282/estaremos-ahi-para-nuestros-nuevos-grandes-amigos-trump-prometio-movilizar-ayuda-venezuela-rapidez,“Estaremos ahí para nuestros nuevos y grandes amigos”: Trump prometió movilizar ayuda a Venezuela con rapidez,Además afirmó que hay “un saldo devastador de muertos”. La Casa Blanca ya envía asistencia para cooperar con el gobierno de Delcy Rodríguez. Rubio habló con la presidenta interina.,ONLY AVAILABLE IN PAID PLANS,"['trump', 'nuevos', 'amigos', 'nuestros', 'estaremos', 'venezuela', 'rapidez', 'grandes', 'mundo', 'diario panorama', 'ayuda', 'ahi', 'prometio', 'para', 'movilizar']",['redacción diario panorama'],spanish,['argentina'],"['top', 'crime', 'politics']",news,2026-06-25 10:39:00,UTC,2026-06-25 14:05:46,https://diariopanorama.com/fotos/notas/2026/06/25/edificios-colapsados-venezuela-557282-104220.jpg,,diariopanorama,Diario Panorama,31285,https://diariopanorama.com,https://n.bytvi.com/diariopanorama.png,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN PROFESSIONAL AND CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN CORPORATE PLANS,ONLY AVAILABLE IN PAID PLANS,False
